"param","importance","dataset","imputation","time_taken"
"criterion",0.0516638326251516,"phpgEDZOc.csv","False",113.535208076006
"max_features",0.199144908879021,"phpgEDZOc.csv","False",113.535208076006
"min_samples_leaf",0.133262774639729,"phpgEDZOc.csv","False",113.535208076006
"min_samples_split",0.0209222225961904,"phpgEDZOc.csv","False",113.535208076006
"('max_features', 'min_samples_leaf')",0.128143123638192,"phpgEDZOc.csv","False",113.535208076006
"('max_features', 'min_samples_split')",0.0619095655313361,"phpgEDZOc.csv","False",113.535208076006
"('min_samples_leaf', 'min_samples_split')",0.0427776287924013,"phpgEDZOc.csv","False",113.535208076006
"('criterion', 'min_samples_leaf')",0.0427008792328658,"phpgEDZOc.csv","False",113.535208076006
"('criterion', 'max_features')",0.0302886125394626,"phpgEDZOc.csv","False",113.535208076006
"('criterion', 'min_samples_split')",0.0120094236702259,"phpgEDZOc.csv","False",113.535208076006
"('criterion', 'max_features', 'min_samples_leaf')",0.0723087985742626,"phpgEDZOc.csv","False",113.535208076006
"criterion",0.000101411129525734,"phpfrJpBS.csv","False",92.2204077049973
"max_features",0.892397594577536,"phpfrJpBS.csv","False",92.2204077049973
"min_samples_leaf",0.0341393244307934,"phpfrJpBS.csv","False",92.2204077049973
"min_samples_split",0.00163111726621797,"phpfrJpBS.csv","False",92.2204077049973
"('max_features', 'min_samples_leaf')",0.0262019238809626,"phpfrJpBS.csv","False",92.2204077049973
"('max_features', 'min_samples_split')",0.00909108817195637,"phpfrJpBS.csv","False",92.2204077049973
"('min_samples_leaf', 'min_samples_split')",0.00617454023395463,"phpfrJpBS.csv","False",92.2204077049973
"('criterion', 'max_features')",0.00174769451563962,"phpfrJpBS.csv","False",92.2204077049973
"('criterion', 'min_samples_leaf')",0.00134992582118966,"phpfrJpBS.csv","False",92.2204077049973
"('criterion', 'min_samples_split')",0.000482588862834505,"phpfrJpBS.csv","False",92.2204077049973
"('criterion', 'max_features', 'min_samples_leaf')",0.00334683884966465,"phpfrJpBS.csv","False",92.2204077049973
"criterion",0.000650349372093815,"file7a97574fa9ae.csv","False",104.287041461968
"max_features",0.845485042208161,"file7a97574fa9ae.csv","False",104.287041461968
"min_samples_leaf",0.00838950234571561,"file7a97574fa9ae.csv","False",104.287041461968
"min_samples_split",0.00332599479535566,"file7a97574fa9ae.csv","False",104.287041461968
"('max_features', 'min_samples_split')",0.0367466939597186,"file7a97574fa9ae.csv","False",104.287041461968
"('max_features', 'min_samples_leaf')",0.0359316566475349,"file7a97574fa9ae.csv","False",104.287041461968
"('criterion', 'max_features')",0.0081771973646376,"file7a97574fa9ae.csv","False",104.287041461968
"('min_samples_leaf', 'min_samples_split')",0.00698511519518213,"file7a97574fa9ae.csv","False",104.287041461968
"('criterion', 'min_samples_leaf')",0.00233220884051867,"file7a97574fa9ae.csv","False",104.287041461968
"('criterion', 'min_samples_split')",0.00137623744428777,"file7a97574fa9ae.csv","False",104.287041461968
"('criterion', 'max_features', 'min_samples_leaf')",0.00764161572703381,"file7a97574fa9ae.csv","False",104.287041461968
"criterion",0.11326710936837,"mfeat-pixel.csv","False",93.1241099740146
"max_features",0.149332312740892,"mfeat-pixel.csv","False",93.1241099740146
"min_samples_leaf",0.296081280800314,"mfeat-pixel.csv","False",93.1241099740146
"min_samples_split",0.0100473638822885,"mfeat-pixel.csv","False",93.1241099740146
"('max_features', 'min_samples_leaf')",0.0964474828622986,"mfeat-pixel.csv","False",93.1241099740146
"('min_samples_leaf', 'min_samples_split')",0.0347940478164347,"mfeat-pixel.csv","False",93.1241099740146
"('criterion', 'max_features')",0.0278753811785381,"mfeat-pixel.csv","False",93.1241099740146
"('max_features', 'min_samples_split')",0.0245260202072129,"mfeat-pixel.csv","False",93.1241099740146
"('criterion', 'min_samples_leaf')",0.0205123884013883,"mfeat-pixel.csv","False",93.1241099740146
"('criterion', 'min_samples_split')",0.00714218831500104,"mfeat-pixel.csv","False",93.1241099740146
"('criterion', 'max_features', 'min_samples_leaf')",0.0625472794042744,"mfeat-pixel.csv","False",93.1241099740146
"criterion",0.00679545421111293,"jm1.csv","True",1030.782415119
"imputation",0.000590717396393296,"jm1.csv","True",1030.782415119
"max_features",0.0550008443415129,"jm1.csv","True",1030.782415119
"min_samples_leaf",0.809815057369647,"jm1.csv","True",1030.782415119
"min_samples_split",0.00752996661464541,"jm1.csv","True",1030.782415119
"('max_features', 'min_samples_leaf')",0.0235181639787991,"jm1.csv","True",1030.782415119
"('min_samples_leaf', 'min_samples_split')",0.0214366571168308,"jm1.csv","True",1030.782415119
"('criterion', 'min_samples_leaf')",0.00445446688686326,"jm1.csv","True",1030.782415119
