gamma,kernel,"('gamma', 'kernel')","('coef0', 'gamma')","('gamma', 'imputation')","('imputation', 'kernel')","('coef0', 'imputation')","('C', 'imputation')","('imputation', 'tol')",dataset
0.00503672310713766,0.9761589785296708,0.002908793705656414,0.00042777932012090465,,,,,,mfeat-pixel.csv
0.0507244663310871,0.8797629286830023,0.05394011995028114,0.0022259091897921753,,,,,,php0FyS2T.csv
0.0024501780226153804,0.9800468555110348,0.0026268639771323725,0.0005660331038786232,,,,,,php3isjYz.csv
0.10349246492343858,0.7797921086765635,0.0275084119565737,0.012946762806400863,,,,,,phpd0f4kM.csv
0.004503399466704097,0.9771996585204452,0.0049722740541434975,0.0008917472291092688,,,,,,phpdReP6S.csv
0.006328739394286184,0.97972685001408,0.0023479187505994602,0.00028070308188862965,,,,,,phpn1jVwe.csv
0.03123743095764098,0.9355920351944178,0.017573100522725146,0.0004479363383917743,,,,,,phptd5jYj.csv
0.05793402408565367,0.2317686763903128,0.01636129636663151,0.03884773416612637,0.010689868388327356,,0.014517671020504887,0.00899509533929227,,phpAz9Len.csv
0.001080376452033121,0.983164559660466,0.0038479681196563376,0.0007360520600869919,,,,,,phpPQrHPH.csv
0.030396705662408888,0.9436351967777924,0.007732475330447549,0.0017046009663658178,,,,,,dataset_57_hypothyroid.csv
6.801795638014096e-05,0.9974257491475921,5.904479879099246e-05,4.3970977256032866e-05,,,,,,dataset_46_splice.csv
0.004116332767918561,0.9816913708949648,0.0067896935845887406,0.0020898484540445273,,,,,,mozilla4.csv
0.05495351330326997,0.9090859161189644,0.02786654780561014,0.0016720170004600756,,,,,,dataset_32_pendigits.csv
0.03195531661486169,0.9319765110923884,0.018420083432775763,0.0013574993406913099,,,,,,dataset_38_sick.csv
0.0028384878490107608,0.9045906530756672,0.0016288777717007768,0.0022149219218810788,0.0017279398208085654,0.00154453337523227,,,,lymphoma_2classes.csv
0.30564869847036696,0.44953652092469104,0.20855144080933985,0.0021572105897187136,,,,,,dataset_3_kr-vs-kp.csv
0.06614691065499223,0.8777676681766822,0.04348618440386118,0.0008056902616377999,,,,,,phpV5QYya.csv
0.0027696888085661404,0.9339406499883988,0.0035045703120389128,0.004046415191943587,,,,,,phpgEDZOc.csv
0.004550364702577504,0.9848539050020501,0.0032903614118592684,4.809671005779428e-05,,,,,,dataset_188_kropt.csv
0.007945316450980506,0.7390348742773869,0.0074135678472416955,0.006549446398706329,,,0.0037138726422358227,,,dataset_5_arrhythmia.csv
0.055601406444335116,0.8713192642289195,0.05449031829246885,0.0010159427903552107,,,,,,phpSZJq5T.csv
0.001091710654499673,0.974244514943465,0.0007399890507733054,0.0001016741474448523,,,,,,phpoW7Dbi.csv
0.3824644502355341,0.1338226721722241,0.4035366929463996,0.006580520234339729,,,,,,eye_movements.csv
0.0005284622484444115,0.995664582999734,0.0008700839685646019,0.0001199385466653569,,,,,,phpGReJjU.csv
0.09901210248774317,0.7986083909223699,0.09596771446310742,0.0003643767738066092,,,,,,phpxijhaP.csv
0.04811601808403722,0.911049659475382,0.032591414512095004,0.0010513503951394068,,,,,,dataset_60_waveform-5000.csv
0.013313876760466655,0.963646907627452,0.012801103111835441,0.0005336810045463821,,,,,,shuttle.csv
0.004355177561207105,0.9805609737404356,0.0027285104992109807,0.00017070157534605042,,,,,,phplE7q6h.csv
0.01813191908394972,0.9547184488136172,0.012311167743744512,0.0019283318578287038,,,,,,avila-tr.csv
0.058470115652301036,0.18916970559806834,0.053989514936491095,0.038209866566239335,,,,,,tumors_C.csv
0.02745542839062716,0.8911721127421708,0.06291725900413797,0.0032882433721258828,,,,,,MagicTelescope.csv
0.02841438142299085,0.9580514932948744,0.0027147189566145685,0.0007727366919086571,,,,,,phpmcGu2X.csv
0.4881762082378833,0.023288346058701916,0.4414342272286341,0.004583970608902649,,,,,,dataset_186_satimage.csv
0.00417567332736137,0.935883781450752,0.0043582848768088656,0.003487608101122813,,,,,,leukemia.csv
0.002941562911218097,0.9838389842974772,0.001537292855909276,0.0008171200384921934,,,,,,phpPbCMyg.csv
0.23834191094002866,0.5669285429572613,0.1545004003586984,0.0029968963230418808,,,,,,aaaData_for_UCI_named.csv
0.21926356596417687,0.4548917051049442,0.1345048369926403,0.011464863783673002,,,,,,phpfLuQE4.csv
0.13306466689440646,0.7359948216839615,0.08812115704546339,0.005652044436925625,,,,,,dataset_12_mfeat-factors.csv
0.4873001128996073,0.09849341978732963,0.3508223246228066,0.003997351865178826,,,,,,dataset_22_mfeat-zernike.csv
0.2645618238458596,0.4430852554784875,0.24280486924423014,0.008542458614468687,,,,,,kdd_JapaneseVowels.csv
0.12312546869708893,0.8032247608976939,0.048698172945846864,0.003363350520415475,,,,,,dataset_16_mfeat-karhunen.csv
0.05400554625930713,0.8616999150865979,0.0752672609905925,0.0008778210208859978,,,,,,phpBDgUyY.csv
0.249149160537762,0.5690836948456994,0.11201139533990496,0.00780853556784358,,,,,,dataset_14_mfeat-fourier.csv
0.008426696680697758,0.9398014318535308,0.006406496986883406,0.0015509996080989613,,,,,,phpuZu33P.csv
0.0005164976983643156,0.9852010860338212,0.00038909608932004617,8.344994951522535e-05,,,,,,AP_Endometrium_Prostate.csv
0.4046978526243968,0.0008032113251018099,0.04046435276285163,0.07023809363496708,,,,,,php1PI19i.csv
0.0005661323308546383,0.9856629707704518,0.0005612986751018142,0.0004218351277360916,,,,,,phpvtdNPU.csv
0.03806676526387693,0.19601348988774472,0.03815959708122545,0.027048937827082783,,,,,,AP_Endometrium_Uterus.csv
0.0011580776264275626,0.9771071337987174,0.0016905484498889874,0.0005522366194925846,,,,,,AP_Endometrium_Lung.csv
0.0014718944317873206,0.9786772531975804,0.0016114065852499138,0.0005848424503977418,,,,,,hiva_agnostic.csv
0.0013189508129659313,0.9889266495268668,0.001634756030480693,0.00011576305214452386,,,,,,AP_Prostate_Lung.csv
0.0006482157421410259,0.9896081740055812,0.0006487400813583637,0.00026622158105513524,,,,,,AP_Lung_Uterus.csv
0.011683523419475712,0.7182197146703081,0.011682638203366172,0.008958972803322444,,,,,,phpZZfh5g.csv
